Designator,Mid X,Mid Y,Rotation,Layer
BT1,129.0,-91.0,0.0,bottom
BT2,76.0,-91.0,180.0,bottom
C1,137.25,-69.25,180.0,bottom
C2,137.25,-75.75,0.0,bottom
C3,102.5,-62.5,0.0,bottom
D1,67.9,-68.525949,298.0,top
D2,64.48,-61.98,298.0,top
D3,64.0,-53.0,0.0,top
D4,141.0,-53.0,0.0,top
D5,137.13,-57.25,90.0,top
D6,130.1,-60.99,90.0,top
D7,141.0,-100.0,0.0,top
D8,64.0,-100.0,180.0,top
D9,61.5,-82.25,0.0,top
Q1,106.75,-76.25,270.0,bottom
Q2,102.5,-76.25,270.0,bottom
Q3,98.25,-76.25,270.0,bottom
R1,105.75,-72.25,270.0,bottom
R2,106.75,-80.25,90.0,bottom
R3,102.49,-80.25,90.0,bottom
R4,98.25,-80.25,90.0,bottom
R5,101.5,-72.25,270.0,bottom
R6,97.25,-72.25,270.0,bottom
R7,74.25,-61.075,90.0,bottom
R8,108.75,-68.25,0.0,bottom
SW1,142.5,-76.0,270.0,bottom
SW2,138.75,-54.75,0.0,bottom
U1,137.25,-72.5,90.0,bottom
U2,102.5,-66.25,180.0,bottom
